Gene ID,Genomic Location (Gene),Product Description
PF3D7-0918900,"Pf3D7-09-v3:777,558..780,749(+)",gamma-glutamylcysteine synthetase
PF3D7-0930300,"Pf3D7-09-v3:1,201,812..1,206,974(+)",merozoite surface protein 1
PF3D7-1008600,"Pf3D7-10-v3:357,345..358,463(+)","zinc finger (CCCH type) protein, putative"
PF3D7-1022600,"Pf3D7-10-v3:948,477..951,152(+)",kelch protein K10
PF3D7-1036300,"Pf3D7-10-v3:1,432,498..1,434,786(+)",duffy binding-like merozoite surface protein 2
PF3D7-1036400,"Pf3D7-10-v3:1,436,316..1,439,804(+)",liver stage antigen 1
PF3D7-1036800,"Pf3D7-10-v3:1,448,692..1,451,646(-)","acetyl-CoA transporter, putative"
PF3D7-1038900,"Pf3D7-10-v3:1,562,809..1,563,888(+)","esterase, putative"
PF3D7-1107400,"Pf3D7-11-v3:317,819..318,871(-)",DNA repair protein RAD51
PF3D7-1113300,"Pf3D7-11-v3:519,189..520,220(+)","UDP-galactose transporter, putative"
PF3D7-1113700,"Pf3D7-11-v3:529,493..530,563(+)",glyoxalase I
PF3D7-1115700,"Pf3D7-11-v3:592,130..593,584(-)",cysteine proteinase falcipain 2a
PF3D7-1117200,"Pf3D7-11-v3:654,762..660,420(+)","conserved Plasmodium protein, unknown function"
PF3D7-1119600,"Pf3D7-11-v3:738,513..741,671(-)","ATP-dependent zinc metalloprotease FTSH, putative"
PF3D7-1121600,"Pf3D7-11-v3:815,386..816,322(-)",exported protein 1
PF3D7-1121700,"Pf3D7-11-v3:820,073..822,520(+)",protein GCN20
PF3D7-1129100,"Pf3D7-11-v3:1,125,952..1,127,310(+)",parasitophorous vacuolar protein 1
PF3D7-1132400,"Pf3D7-11-v3:1,255,286..1,259,671(-)","conserved Plasmodium membrane protein, unknown function"
PF3D7-1137400,"Pf3D7-11-v3:1,470,600..1,471,877(-)",UVB-resistance protein UVR8 homologue
PF3D7-1138300,"Pf3D7-11-v3:1,499,137..1,499,571(-)","conserved Plasmodium membrane protein, unknown function"
PF3D7-1145500,"Pf3D7-11-v3:1,807,359..1,810,130(+)","ABC transporter B family member 3, putative"
PF3D7-1147500,"Pf3D7-11-v3:1,889,826..1,892,597(-)",protein farnesyltransferase subunit beta
PF3D7-1147700,"Pf3D7-11-v3:1,897,204..1,897,884(+)","ATP synthase subunit delta, mitochondrial, putative"
PF3D7-1149200,"Pf3D7-11-v3:1,976,407..1,979,804(+)",ring-infected erythrocyte surface antigen
PF3D7-1209900,"Pf3D7-12-v3:448,772..451,339(-)","ABC transporter B family member 7, putative"
PF3D7-1211900,"Pf3D7-12-v3:529,005..532,799(-)",non-SERCA-type Ca2+ -transporting P-ATPase
PF3D7-1213800,"Pf3D7-12-v3:590,194..592,434(-)",proline--tRNA ligase
PF3D7-1218300,"Pf3D7-12-v3:717,955..719,820(+)","AP-2 complex subunit mu, putative"
PF3D7-1229100,"Pf3D7-12-v3:1,192,888..1,199,214(-)",multidrug resistance-associated protein 2
PF3D7-1235700,"Pf3D7-12-v3:1,487,084..1,488,691(+)","ATP synthase subunit beta, mitochondrial"
PF3D7-1242600,"Pf3D7-12-v3:1,800,562..1,802,310(+)",protein farnesyltransferase subunit alpha
PF3D7-1251200,"Pf3D7-12-v3:2,092,087..2,094,231(+)",coronin
PF3D7-1252600,"Pf3D7-12-v3:2,150,554..2,151,915(+)","esterase, putative"
PF3D7-1303500,"Pf3D7-13-v3:169,874..175,789(-)",sodium/hydrogen exchanger
PF3D7-1310000,"Pf3D7-13-v3:448,907..449,668(+)","ATP synthase subunit O, mitochondrial, putative"
PF3D7-1311300,"Pf3D7-13-v3:484,205..485,463(+)","ATP synthase subunit gamma, mitochondrial"
PF3D7-1318300,"Pf3D7-13-v3:753,910..759,432(+)","conserved Plasmodium protein, unknown function"
PF3D7-1324400,"Pf3D7-13-v3:1,021,509..1,022,537(+)","PRELI domain-containing protein, putative"
PF3D7-1335900,"Pf3D7-13-v3:1,464,895..1,466,619(-)",thrombospondin-related anonymous protein
PF3D7-1339900,"Pf3D7-13-v3:1,598,401..1,601,178(+)","ABC transporter B family member 5, putative"
PF3D7-1343700,"Pf3D7-13-v3:1,724,817..1,726,997(-)",kelch protein K13
PF3D7-1352100,"Pf3D7-13-v3:2,076,078..2,079,227(-)","ABC transporter B family member 6, putative"
PF3D7-1362500,"Pf3D7-13-v3:2,503,185..2,505,458(+)","exonuclease, putative"
PF3D7-1368200,"Pf3D7-13-v3:2,713,463..2,715,436(-)","ABC transporter E family member 1, putative"
PF3D7-1401500,"Pf3D7-14-v3:57,172..58,293(-)","esterase, putative"
PF3D7-1413500,"Pf3D7-14-v3:536,796..537,839(-)",FeS assembly ATPase SufC
PF3D7-1427500,"Pf3D7-14-v3:1,081,773..1,084,208(+)","DNA mismatch repair protein MSH2, putative"
PF3D7-1431400,"Pf3D7-14-v3:1,233,977..1,237,125(-)",surface-related antigen SRA
PF3D7-1434000,"Pf3D7-14-v3:1,364,749..1,366,113(-)","CCR4-associated factor 16, putative"
PF3D7-1436600,"Pf3D7-14-v3:1,490,654..1,494,214(-)",cGMP-dependent protein kinase
PF3D7-1438900,"Pf3D7-14-v3:1,575,984..1,576,571(+)",thioredoxin peroxidase 1
PF3D7-1442900,"Pf3D7-14-v3:1,753,510..1,763,664(+)","protein transport protein SEC7, putative"
PF3D7-1447900,"Pf3D7-14-v3:1,954,601..1,957,675(-)",multidrug resistance protein 2
PF3D7-1448500,"Pf3D7-14-v3:1,984,189..1,995,574(-)","conserved Plasmodium protein, unknown function"
PF3D7-1467400,"Pf3D7-14-v3:2,753,136..2,754,020(-)","50S ribosomal protein L22, apicoplast, putative"
PF3D7-1468600,"Pf3D7-14-v3:2,816,100..2,822,286(+)","aminophospholipid transporter, putative"
PF3D7-1476100,"Pf3D7-14-v3:3,131,104..3,131,637(+)",early transcribed membrane protein 14.2
PF3D7-API01300,"Pf3D7-API-v3:1,667..2,239(+)","50S ribosomal protein L4, putative"
