Gene ID,Genomic Location (Gene),Product Description
PF3D7-0115500,"Pf3D7-01-v3:600,692..601,992(+)","erythrocyte membrane protein 1 (PfEMP1), pseudogene"
PF3D7-0115600,"Pf3D7-01-v3:604,162..605,531(+)",rifin
PF3D7-0115700,"Pf3D7-01-v3:607,390..614,893(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0200100,"Pf3D7-02-v3:25,232..31,168(+)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0200200,"Pf3D7-02-v3:33,030..34,259(-)",rifin
PF3D7-0200300,"Pf3D7-02-v3:35,927..37,249(-)","erythrocyte membrane protein 1 (PfEMP1), exon 2"
PF3D7-0200400,"Pf3D7-02-v3:38,287..39,303(-)",stevor
PF3D7-0200500,"Pf3D7-02-v3:41,515..42,858(-)",rifin
PF3D7-0200600,"Pf3D7-02-v3:45,286..46,558(-)",rifin
PF3D7-0200700,"Pf3D7-02-v3:48,923..50,147(-)",rifin
PF3D7-0200800,"Pf3D7-02-v3:51,842..53,055(-)","erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene"
PF3D7-0200900,"Pf3D7-02-v3:54,254..55,255(-)","stevor, pseudogene"
PF3D7-0201000,"Pf3D7-02-v3:57,344..58,421(-)",rifin
PF3D7-0201100,"Pf3D7-02-v3:60,107..60,319(-)","Plasmodium exported protein, unknown function, fragment"
PF3D7-0201200,"Pf3D7-02-v3:63,157..64,376(+)",rifin
PF3D7-0201300,"Pf3D7-02-v3:66,529..67,545(+)",stevor
PF3D7-0201700,"Pf3D7-02-v3:81,291..84,165(-)","DnaJ protein, putative"
PF3D7-0201800,"Pf3D7-02-v3:86,832..88,791(-)",knob associated heat shock protein 40
PF3D7-0202000,"Pf3D7-02-v3:103,385..105,796(-)",knob-associated histidine-rich protein
PF3D7-0202100,"Pf3D7-02-v3:109,564..110,580(-)",liver stage associated protein 2
PF3D7-0202200,"Pf3D7-02-v3:112,547..113,682(-)",EMP1-trafficking protein
PF3D7-0202400,"Pf3D7-02-v3:120,524..124,102(+)",translation-enhancing factor
PF3D7-0203000,"Pf3D7-02-v3:141,625..147,564(-)","repetitive organellar protein, putative"
PF3D7-0203600,"Pf3D7-02-v3:166,144..168,051(+)","conserved Plasmodium protein, unknown function"
PF3D7-0203900,"Pf3D7-02-v3:176,567..178,300(+)","5'-3' exonuclease, N-terminal resolvase-like domain, putative"
PF3D7-0204000,"Pf3D7-02-v3:178,955..181,526(+)","condensin-2 complex subunit H2, putative"
PF3D7-0204300,"Pf3D7-02-v3:194,826..196,916(-)","conserved Plasmodium protein, unknown function"
PF3D7-0204500,"Pf3D7-02-v3:198,353..199,570(-)",aspartate transaminase
PF3D7-0204600,"Pf3D7-02-v3:200,482..204,048(-)","5'-3' exonuclease, putative"
PF3D7-0204700,"Pf3D7-02-v3:205,889..207,403(-)",hexose transporter
PF3D7-0204800,"Pf3D7-02-v3:209,583..210,833(-)","3'-5' exonuclease, putative"
PF3D7-0205100,"Pf3D7-02-v3:214,838..217,348(-)","conserved Plasmodium protein, unknown function"
PF3D7-0205600,"Pf3D7-02-v3:228,025..229,932(+)","conserved Plasmodium protein, unknown function"
PF3D7-0205700,"Pf3D7-02-v3:231,141..232,529(+)","RNA-binding protein, putative"
PF3D7-0205700,"Pf3D7-02-v3:231,141..232,529(+)","RNA-binding protein, putative"
PF3D7-0205900,"Pf3D7-02-v3:235,237..238,816(+)","26S proteasome regulatory subunit RPN1, putative"
PF3D7-0206000,"Pf3D7-02-v3:239,246..243,796(-)","DNA repair protein RAD2, putative"
PF3D7-0206200,"Pf3D7-02-v3:249,030..250,727(+)",pantothenate transporter
PF3D7-0206600,"Pf3D7-02-v3:270,078..270,619(-)","DNA-directed RNA polymerase III subunit RPC10, putative"
PF3D7-0206800,"Pf3D7-02-v3:273,689..274,507(-)",merozoite surface protein 2
PF3D7-0206900,"Pf3D7-02-v3:275,540..276,577(-)",merozoite surface protein 5
PF3D7-0206900,"Pf3D7-02-v3:275,540..276,577(-)",merozoite surface protein 5
PF3D7-0207000,"Pf3D7-02-v3:277,494..278,456(-)",merozoite surface protein 4
PF3D7-0207100,"Pf3D7-02-v3:281,907..287,345(+)","conserved Plasmodium protein, unknown function"
PF3D7-0207300,"Pf3D7-02-v3:290,168..292,703(-)",serine repeat antigen 8
PF3D7-0207400,"Pf3D7-02-v3:294,273..297,616(-)",serine repeat antigen 7
PF3D7-0207500,"Pf3D7-02-v3:298,897..302,564(-)",serine repeat antigen 6
PF3D7-0207600,"Pf3D7-02-v3:303,593..307,027(-)",serine repeat antigen 5
PF3D7-0207700,"Pf3D7-02-v3:308,847..312,155(-)",serine repeat antigen 4
PF3D7-0207800,"Pf3D7-02-v3:313,449..316,741(-)",serine repeat antigen 3
PF3D7-0207900,"Pf3D7-02-v3:317,596..321,310(-)",serine repeat antigen 2
PF3D7-0208000,"Pf3D7-02-v3:322,338..325,723(-)",serine repeat antigen 1
PF3D7-0208700,"Pf3D7-02-v3:356,501..358,014(-)","conserved Plasmodium protein, unknown function, unspecified product"
PF3D7-0208700,"Pf3D7-02-v3:356,501..358,014(-)","conserved Plasmodium protein, unknown function, unspecified product"
PF3D7-0208900,"Pf3D7-02-v3:360,828..368,354(+)",6-cysteine protein P230p
PF3D7-0209000,"Pf3D7-02-v3:370,438..379,845(+)",6-cysteine protein
PF3D7-0209400,"Pf3D7-02-v3:388,424..390,611(-)","conserved protein, unknown function"
PF3D7-0209500,"Pf3D7-02-v3:391,275..392,789(-)","conserved Plasmodium protein, unknown function"
PF3D7-0209700,"Pf3D7-02-v3:400,153..401,859(-)","RING zinc finger protein, putative"
PF3D7-0209800,"Pf3D7-02-v3:404,281..406,355(-)",ATP-dependent RNA helicase UAP56
PF3D7-0210200,"Pf3D7-02-v3:413,278..421,137(-)","conserved Plasmodium protein, unknown function"
PF3D7-0210800,"Pf3D7-02-v3:437,755..439,002(-)","conserved Plasmodium protein, unknown function"
PF3D7-0210900,"Pf3D7-02-v3:442,080..442,934(-)","conserved Plasmodium protein, unknown function"
PF3D7-0211200,"Pf3D7-02-v3:455,579..456,286(-)",ras-related protein Rab-5A
PF3D7-0211300,"Pf3D7-02-v3:457,130..458,585(-)","ubiquinol-cytochrome-c reductase complex assembly factor 1, putative"
PF3D7-0211400,"Pf3D7-02-v3:459,072..461,518(-)",beta-ketoacyl-ACP synthase III
PF3D7-0211600,"Pf3D7-02-v3:467,847..468,476(+)","UDP-N-acetylglucosamine transferase subunit ALG14, putative"
PF3D7-0211700,"Pf3D7-02-v3:469,790..473,491(+)","tyrosine kinase-like protein, putative"
PF3D7-0211800,"Pf3D7-02-v3:475,242..477,074(+)",asparagine--tRNA ligase
PF3D7-0212100,"Pf3D7-02-v3:483,436..488,970(+)","conserved Plasmodium protein, unknown function"
PF3D7-0212700,"Pf3D7-02-v3:524,700..526,043(-)",SRR1-like protein
PF3D7-0212800,"Pf3D7-02-v3:528,249..531,923(+)","multidrug efflux pump, putative"
PF3D7-0212900,"Pf3D7-02-v3:533,253..534,350(+)",arginyl-tRNA--protein transferase
PF3D7-0213100,"Pf3D7-02-v3:537,789..539,420(+)",protein SIS1
PF3D7-0213400,"Pf3D7-02-v3:541,811..543,807(+)",protein kinase 7
PF3D7-0213600,"Pf3D7-02-v3:546,482..555,294(-)","conserved Plasmodium protein, unknown function"
PF3D7-0213700,"Pf3D7-02-v3:557,048..557,696(+)","conserved protein, unknown function"
PF3D7-0213900,"Pf3D7-02-v3:561,122..564,622(-)","RTR1 domain-containing protein, putative"
PF3D7-0214000,"Pf3D7-02-v3:566,121..567,894(+)",T-complex protein 1 subunit theta
PF3D7-0214200,"Pf3D7-02-v3:575,155..576,054(-)","ribosomal protein L13, mitochondrial"
PF3D7-0214500,"Pf3D7-02-v3:590,501..591,421(+)","conserved Plasmodium protein, unknown function"
PF3D7-0214800,"Pf3D7-02-v3:605,045..609,325(+)","conserved Plasmodium membrane protein, unknown function"
PF3D7-0214900,"Pf3D7-02-v3:610,625..615,372(+)",rhoptry neck protein 6
PF3D7-0215000,"Pf3D7-02-v3:616,772..619,429(-)",acyl-CoA synthetase
PF3D7-0215100,"Pf3D7-02-v3:622,524..624,306(-)","RING zinc finger protein, putative"
PF3D7-0215200,"Pf3D7-02-v3:626,976..627,710(+)","conserved Plasmodium protein, unknown function"
PF3D7-0215300,"Pf3D7-02-v3:628,642..631,308(-)",acyl-CoA synthetase
PF3D7-0215400,"Pf3D7-02-v3:634,589..637,507(-)","conserved Plasmodium protein, unknown function"
PF3D7-0215500,"Pf3D7-02-v3:640,400..642,694(+)","conserved Plasmodium protein, unknown function"
PF3D7-0215700,"Pf3D7-02-v3:645,929..650,085(+)","DNA-directed RNA polymerase II subunit RPB2, putative"
PF3D7-0215900,"Pf3D7-02-v3:654,918..656,840(-)","palmitoyltransferase DHHC11, putative"
PF3D7-0216000,"Pf3D7-02-v3:658,636..664,629(+)","DEAD/DEAH box helicase, putative"
PF3D7-0216500,"Pf3D7-02-v3:678,487..683,703(+)","conserved Plasmodium protein, unknown function"
PF3D7-0216600,"Pf3D7-02-v3:686,485..688,545(+)",MtN3-like protein
PF3D7-0216700,"Pf3D7-02-v3:690,311..695,783(+)","autophagy-related protein 11, putative"
PF3D7-0216700,"Pf3D7-02-v3:690,311..695,783(+)","autophagy-related protein 11, putative"
PF3D7-0216900,"Pf3D7-02-v3:701,245..702,894(+)","conserved Plasmodium protein, unknown function"
PF3D7-0217100,"Pf3D7-02-v3:707,738..709,393(+)","ATP synthase subunit alpha, mitochondrial"
PF3D7-0217500,"Pf3D7-02-v3:720,437..722,661(+)",calcium-dependent protein kinase 1
PF3D7-0217700,"Pf3D7-02-v3:731,120..732,312(-)","E2F-associated phosphoprotein, putative"
PF3D7-0218000,"Pf3D7-02-v3:738,860..739,852(+)","replication factor C subunit 2, putative"
PF3D7-0218100,"Pf3D7-02-v3:741,014..742,459(+)","conserved protein, unknown function"
PF3D7-0218200,"Pf3D7-02-v3:743,289..745,712(-)","SUZ domain-containing protein, putative"
PF3D7-0218300,"Pf3D7-02-v3:747,566..749,365(-)","rRNA methyltransferase, putative"
PF3D7-0218500,"Pf3D7-02-v3:752,966..753,439(+)","small nuclear ribonucleoprotein Sm D2, putative"
PF3D7-0219400,"Pf3D7-02-v3:774,815..776,036(+)","ribosome associated membrane protein RAMP4, putative, unspecified product"
PF3D7-0219400,"Pf3D7-02-v3:774,815..776,036(+)","ribosome associated membrane protein RAMP4, putative, unspecified product"
PF3D7-0219500,"Pf3D7-02-v3:776,828..778,065(-)","pseudouridine synthase, putative"
PF3D7-0219600,"Pf3D7-02-v3:779,418..782,132(-)","replication factor C subunit 1, putative"
PF3D7-0220000,"Pf3D7-02-v3:796,752..801,586(+)",liver stage antigen 3
PF3D7-0220100,"Pf3D7-02-v3:804,520..807,741(+)","DnaJ protein, putative"
PF3D7-0220400,"Pf3D7-02-v3:820,429..822,541(+)","DnaJ protein, putative, pseudogene"
PF3D7-0221400,"Pf3D7-02-v3:860,466..861,504(+)",stevor
PF3D7-0221800,"Pf3D7-02-v3:873,131..873,319(+)",hypothetical protein
PF3D7-0221900,"Pf3D7-02-v3:873,917..875,178(-)","erythrocyte membrane protein 1 (PfEMP1), pseudogene"
PF3D7-0222000,"Pf3D7-02-v3:876,984..877,832(+)",exported protein family 1
PF3D7-0222200,"Pf3D7-02-v3:881,469..882,267(-)",exported protein family 3
PF3D7-0222300,"Pf3D7-02-v3:883,452..884,312(+)","exported protein family 4, pseudogene"
PF3D7-0222400,"Pf3D7-02-v3:886,625..887,802(+)","rifin, pseudogene"
PF3D7-0222500,"Pf3D7-02-v3:889,660..890,745(+)",rifin
PF3D7-0222600,"Pf3D7-02-v3:892,856..894,206(+)",rifin
PF3D7-0222700,"Pf3D7-02-v3:896,226..897,420(+)",rifin
PF3D7-0222800,"Pf3D7-02-v3:899,430..900,445(+)",stevor
PF3D7-0222900,"Pf3D7-02-v3:901,494..902,853(+)","erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene"
PF3D7-0223100,"Pf3D7-02-v3:904,551..905,775(+)",rifin
PF3D7-0223200,"Pf3D7-02-v3:907,678..908,861(+)",rifin
PF3D7-0223300,"Pf3D7-02-v3:909,350..911,054(+)","erythrocyte membrane protein 1 (PfEMP1), exon 2"
PF3D7-0223400,"Pf3D7-02-v3:913,244..914,457(+)",rifin
PF3D7-0223500,"Pf3D7-02-v3:916,352..923,648(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0300100,"Pf3D7-03-v3:36,965..44,482(+)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0300200,"Pf3D7-03-v3:46,369..47,579(-)",rifin
PF3D7-0300400,"Pf3D7-03-v3:52,280..53,273(-)",stevor
PF3D7-0300500,"Pf3D7-03-v3:55,390..56,584(-)",rifin
PF3D7-0300700,"Pf3D7-03-v3:61,445..62,714(+)",rifin
PF3D7-0300800,"Pf3D7-03-v3:64,572..65,783(+)",rifin
PF3D7-0301200,"Pf3D7-03-v3:78,195..80,393(-)","serine/threonine protein kinase, FIKK family"
PF3D7-0301800,"Pf3D7-03-v3:104,325..105,281(+)","Plasmodium exported protein, unknown function"
PF3D7-0302100,"Pf3D7-03-v3:114,070..118,086(+)",serine/threonine protein kinase
PF3D7-0302200,"Pf3D7-03-v3:119,458..124,735(+)",cytoadherence linked asexual protein 3.2
PF3D7-0302300,"Pf3D7-03-v3:125,992..130,235(-)","erythrocyte membrane protein 1 (PfEMP1), pseudogene"
PF3D7-0302500,"Pf3D7-03-v3:135,418..140,660(+)",cytoadherence linked asexual protein 3.1
PF3D7-0302600,"Pf3D7-03-v3:141,556..145,653(+)","ABC transporter B family member 4, putative"
PF3D7-0303100,"Pf3D7-03-v3:162,778..167,103(-)","conserved Plasmodium protein, unknown function"
PF3D7-0303600,"Pf3D7-03-v3:190,180..190,719(+)",plasmoredoxin
PF3D7-0303700,"Pf3D7-03-v3:191,245..192,591(-)",lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex
PF3D7-0303800,"Pf3D7-03-v3:194,430..196,211(+)","IBR domain protein, putative"
PF3D7-0304000,"Pf3D7-03-v3:198,542..201,584(-)","inner membrane complex protein 1a, putative"
PF3D7-0304200,"Pf3D7-03-v3:207,342..208,919(-)",EH domain-containing protein
PF3D7-0304400,"Pf3D7-03-v3:217,941..218,489(+)",60S ribosomal protein L44
PF3D7-0304600,"Pf3D7-03-v3:221,323..222,516(-)",circumsporozoite (CS) protein
PF3D7-0304900,"Pf3D7-03-v3:231,793..232,305(-)","conserved protein, unknown function"
PF3D7-0305600,"Pf3D7-03-v3:275,864..277,717(-)","DNA-(apurinic or apyrimidinic site) lyase, putative"
PF3D7-0305800,"Pf3D7-03-v3:281,916..285,260(+)","P-loop containing nucleoside triphosphate hydrolase, putative"
PF3D7-0306200,"Pf3D7-03-v3:292,943..294,548(+)",activator of Hsp90 ATPase
PF3D7-0306300,"Pf3D7-03-v3:295,107..296,094(-)",glutaredoxin 1
PF3D7-0306400,"Pf3D7-03-v3:298,517..300,478(+)","FAD-dependent glycerol-3-phosphate dehydrogenase, putative"
PF3D7-0306600,"Pf3D7-03-v3:302,826..303,083(+)","ATP synthase-associated protein, putative"
PF3D7-0307300,"Pf3D7-03-v3:318,804..320,336(+)","microtubule-associated protein RP/EB family, putative"
PF3D7-0307400,"Pf3D7-03-v3:321,050..322,162(-)",ATP-dependent Clp protease proteolytic subunit
PF3D7-0307600,"Pf3D7-03-v3:325,922..328,383(+)","conserved Plasmodium protein, unknown function"
PF3D7-0307900,"Pf3D7-03-v3:340,028..351,652(-)","conserved Plasmodium protein, unknown function"
PF3D7-0308500,"Pf3D7-03-v3:369,925..370,789(+)","activator of Hsp90 ATPase, putative"
PF3D7-0309000,"Pf3D7-03-v3:384,375..386,879(+)",dual specificity protein phosphatase
PF3D7-0309100,"Pf3D7-03-v3:387,219..388,473(-)","conserved Plasmodium protein, unknown function"
PF3D7-0309200,"Pf3D7-03-v3:389,137..394,604(-)","serine/threonine protein kinase, putative"
PF3D7-0309300,"Pf3D7-03-v3:397,649..400,516(+)","N2227-like protein, putative"
PF3D7-0309500,"Pf3D7-03-v3:402,933..405,440(+)","asparagine synthetase [glutamine-hydrolyzing], putative"
PF3D7-0309700,"Pf3D7-03-v3:409,102..410,928(-)","SECIS-binding protein 2, putative"
PF3D7-0310100,"Pf3D7-03-v3:422,379..424,680(+)",calcium-dependent protein kinase 3
PF3D7-0310200,"Pf3D7-03-v3:427,290..440,942(+)","phd finger protein, putative"
PF3D7-0310300,"Pf3D7-03-v3:442,720..446,457(+)","phosphoglycerate mutase, putative"
PF3D7-0310500,"Pf3D7-03-v3:452,297..459,106(-)","ATP-dependent RNA helicase DHX57, putative"
PF3D7-0310600,"Pf3D7-03-v3:461,175..462,027(-)","eukaryotic translation initiation factor 3 subunit K, putative, unspecified product"
PF3D7-0310600,"Pf3D7-03-v3:461,175..462,027(-)","eukaryotic translation initiation factor 3 subunit K, putative, unspecified product"
PF3D7-0311100,"Pf3D7-03-v3:470,860..473,161(-)","pre-mRNA splicing factor, putative"
PF3D7-0311300,"Pf3D7-03-v3:480,122..483,453(-)","phosphatidylinositol 3- and 4-kinase, putative"
PF3D7-0311400,"Pf3D7-03-v3:488,804..496,510(+)","kinase-related protein PKRP, putative"
PF3D7-0311500,"Pf3D7-03-v3:497,118..497,363(-)","conserved protein, unknown function"
PF3D7-0311800,"Pf3D7-03-v3:506,655..508,846(+)","ATP synthase F0 subunit d-like protein, putative"
PF3D7-0312100,"Pf3D7-03-v3:513,752..516,262(+)",E3 ubiquitin-protein ligase
PF3D7-0312300,"Pf3D7-03-v3:521,969..522,883(+)","26S proteasome regulatory subunit RPN12, putative"
PF3D7-0312400,"Pf3D7-03-v3:524,154..526,439(-)",glycogen synthase kinase 3
PF3D7-0312500,"Pf3D7-03-v3:529,037..530,776(+)","major facilitator superfamily-related transporter, putative"
PF3D7-0313900,"Pf3D7-03-v3:562,366..565,656(-)","conserved Plasmodium protein, unknown function"
PF3D7-0314000,"Pf3D7-03-v3:567,247..568,850(+)","HSP20-like chaperone, putative"
PF3D7-0314700,"Pf3D7-03-v3:589,002..592,547(-)",RING finger protein RNF1
PF3D7-0315200,"Pf3D7-03-v3:616,472..622,816(+)",circumsporozoite- and TRAP-related protein
PF3D7-0315300,"Pf3D7-03-v3:623,446..630,360(+)","conserved Plasmodium protein, unknown function"
PF3D7-0315400,"Pf3D7-03-v3:630,611..631,381(-)","conserved Plasmodium protein, unknown function"
PF3D7-0315600,"Pf3D7-03-v3:635,586..637,462(+)","zinc finger protein, putative"
PF3D7-0315700,"Pf3D7-03-v3:638,283..641,306(+)","conserved Plasmodium membrane protein, unknown function"
PF3D7-0316000,"Pf3D7-03-v3:645,921..646,844(-)",microneme associated antigen
PF3D7-0316700,"Pf3D7-03-v3:674,458..675,636(+)","protein YOP1, putative"
PF3D7-0317100,"Pf3D7-03-v3:686,282..689,482(+)",6-cysteine protein
PF3D7-0317200,"Pf3D7-03-v3:690,154..694,815(-)",cdc2-related protein kinase 4
PF3D7-0317900,"Pf3D7-03-v3:739,428..741,733(+)","conserved protein, unknown function"
PF3D7-0318000,"Pf3D7-03-v3:742,191..742,799(+)","conserved Plasmodium protein, unknown function"
PF3D7-0318100,"Pf3D7-03-v3:743,929..745,053(+)","stomatin-like protein, putative"
PF3D7-0318300,"Pf3D7-03-v3:756,491..760,292(-)","conserved Plasmodium protein, unknown function"
PF3D7-0318500,"Pf3D7-03-v3:767,815..782,760(+)","conserved Plasmodium protein, unknown function"
PF3D7-0318600,"Pf3D7-03-v3:783,112..786,165(-)","cleavage and polyadenylation specificity factor, putative"
PF3D7-0318800,"Pf3D7-03-v3:789,858..791,308(+)","triosephosphate isomerase, putative"
PF3D7-0318900,"Pf3D7-03-v3:791,840..793,481(-)","conserved protein, unknown function"
PF3D7-0319000,"Pf3D7-03-v3:795,577..801,171(+)","P-type ATPase, putative"
PF3D7-0319200,"Pf3D7-03-v3:803,592..806,312(-)","endonuclease/exonuclease/phosphatase family protein, putative"
PF3D7-0319300,"Pf3D7-03-v3:807,277..807,859(+)","ubiquitin-conjugating enzyme E2, putative"
PF3D7-0319400,"Pf3D7-03-v3:810,081..814,172(+)","kinesin-8, putative"
PF3D7-0320200,"Pf3D7-03-v3:842,539..844,290(+)",CPW-WPC family protein
PF3D7-0320400,"Pf3D7-03-v3:848,247..857,504(-)",oocyst capsule protein Cap380
PF3D7-0320500,"Pf3D7-03-v3:860,813..862,102(+)","nicotinamidase, putative"
PF3D7-0320800,"Pf3D7-03-v3:870,817..872,342(+)",ATP-dependent RNA helicase DDX6
PF3D7-0320900,"Pf3D7-03-v3:875,213..876,295(+)",histone H2A.Z
PF3D7-0321400,"Pf3D7-03-v3:894,761..896,112(+)","protein kinase, putative"
PF3D7-0321600,"Pf3D7-03-v3:900,857..903,369(+)","ATP-dependent RNA helicase DDX42, putative"
PF3D7-0321700,"Pf3D7-03-v3:903,764..910,118(-)","conserved Plasmodium protein, unknown function"
